sha256,product_uid,variant,file_type,furniture_type,subtype,tags_csv,brand,name
c65123e516525b98e10e70ba627145933526890381d326424414cf7a2e6b471b,herman_miller:aeron_chairs,aeron_chair_c_size_fixed_arms,autocad_3d,Chair,,,herman_miller,aeron chairs
3ed13f148cb93e8aaa5562b9fcebef8670e66f56506b2807cb73486da3da62c8,herman_miller:aeron_chairs,aeron_chair_c_size_fixed_arms,sketchup,Chair,,,herman_miller,aeron chairs
75bc5c754063b0affa16f8700c9609959e2fcc11fd2ec9971ace48f19c662337,herman_miller:aeron_chairs,aeron_chair_c_size_height_adjustable_arms,autocad_3d,Chair,,,herman_miller,aeron chairs
2a492ca6c215242daca61ee3334f5465e1a191ee8ebe6a69c4db6317c1e9f7c2,herman_miller:aeron_chairs,aeron_chair_c_size_fully_adjustable_arms,sketchup,Chair,,,herman_miller,aeron chairs
ce4517176cfc2f5a8c14fc68bb98025af74c84cfc246dbae0c8147521bbbea9c,herman_miller:aeron_chairs,aeron_chair_c_size_height_adjustable_arms,sketchup,Chair,,,herman_miller,aeron chairs
71a86e0443af96b4382a4eab0f43190b5f55ca345f8dacbb01e43b3bdd8e8193,herman_miller:caper_stacking_chair,caper_stacking_chair_armless,autocad_3d,Chair,,,herman_miller,caper stacking chair
41773c6d90faeade26ccd2c3e95fc6fd22d0922f423b0b4d09066fedb2eb01d6,herman_miller:caper_stacking_chair,caper_stacking_chair_armless,sketchup,Chair,,,herman_miller,caper stacking chair
9ffb4711a1728294a9da5f401795a9cb73234b43ffe3ec6060705d6b73c51031,herman_miller:caper_stacking_chair,caper_stacking_chair_fixed_arms,revit,Chair,,,herman_miller,caper stacking chair
e1d4209f84b3220c13023eb7938248c0eb30715c20d7614dade2446bdea660ca,herman_miller:caper_stacking_chair,caper_stacking_chair_fixed_arms,autocad_3d,Chair,,,herman_miller,caper stacking chair
e1e800f836d52cafb052b061485d34a101133d5e31d0dc9faa7e026483fe8796,herman_miller:caper_stacking_chair,caper_stacking_chair_fixed_arms,sketchup,Chair,,,herman_miller,caper stacking chair
dc0d9c519b7a25adf4ac0d17364f936b91852753beaba05fa33a74935e353b02,herman_miller:caper_stacking_chair,caper_stacking_chair_tablet_arm_left,autocad_3d,Chair,,,herman_miller,caper stacking chair
d4b50baa264e72dac126692498ccb2f57aa8b3b35b1861aca3be13db278c39af,herman_miller:caper_stacking_chair,caper_stacking_chair_tablet_arm_left,sketchup,Chair,,,herman_miller,caper stacking chair
347063e50b0b18e91d45698e839c6e8a8f67fcd44a8b541f21099bdd85fd372a,herman_miller:caper_stacking_chair,caper_stacking_chair_tablet_arm_right,revit,Chair,,,herman_miller,caper stacking chair
cbd671670b009420f9b34d46860bfaf7b1e45c4ebb978b5723ede65aa5cc8fa3,herman_miller:caper_stacking_chair,caper_stacking_chair_tablet_arm_right,autocad_3d,Chair,,,herman_miller,caper stacking chair
3a81c749e727cd0365acec94114aa45f8321270464477c1c0935249e4f1e5560,herman_miller:caper_stacking_chair,caper_stacking_chair_tablet_arm_right,sketchup,Chair,,,herman_miller,caper stacking chair
4cf9348a93483721230b5f266b4de10c4f05deff5a16aeef41baa89ff2d54bd1,herman_miller:cosm_chairs,cosm_chair_high_back_armless,autocad_3d,Chair,,,herman_miller,cosm chairs
788b20e42c27f3fca9f0d3791c1e72a521731fedc9aa18416e3d56172ceafd50,herman_miller:cosm_chairs,cosm_chair_high_back_armless,sketchup,Chair,,,herman_miller,cosm chairs
a6288ccece354f5b16655f2b1bbe12542c238ae4cf377bc668118319d5f7802e,herman_miller:cosm_chairs,cosm_chair_mid_back_leaf_arms,revit,Chair,,,herman_miller,cosm chairs
785b15b7eabbd605eb02c2c27583034cb580f3db2fce07d7f84400e97a0fd8c4,herman_miller:cosm_chairs,cosm_chair_high_back_fixed_arms,autocad_3d,Chair,,,herman_miller,cosm chairs
8ca65a5a57c7bda872a18702a440ffb830c0d6404a74002451ebb966b5ac556c,herman_miller:cosm_chairs,cosm_chair_high_back_fixed_arms,sketchup,Chair,,,herman_miller,cosm chairs
