product_uid,sha256,variant,file_type,ext,stored_path,size_bytes,source_url,source_page,matched_image_path,brand,product_name,slug,category,product_card_image_path,thumbnail_url
herman_miller:aeron_chairs,6a22a24396866674c295761fd72e35edbdc4f5bc32bd62a5699d909feda5be90,aeron_chair_a_size_height_adjustable_arms,autocad_3d,.dwg,herman_miller/aeron-chairs/aeron_chair_a_size_height_adjustable_arms/autocad_3d/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_3D.dwg,1874674,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,e75deb632031013acf4124c65234faed7e4c2b5488a98fca650feefb474a1b41,aeron_chair_b_size_armless,autocad_3d,.dwg,herman_miller/aeron-chairs/aeron_chair_b_size_armless/autocad_3d/HMI_Aeron_Chair_B_Size_Armless_3D.dwg,1659119,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,1b457518e5032d4c00defab3dc6d18895e0175a0775af3aebac79b870f5fe85c,aeron_chair_b_size_fixed_arms,autocad_3d,.dwg,herman_miller/aeron-chairs/aeron_chair_b_size_fixed_arms/autocad_3d/HMI_Aeron_Chair_B_Size_Fixed_Arms_3D.dwg,1747753,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,03a87ce06caa717bbcd5818eec58e00bafe4e1b3cd7bd2fb5230fb0a05f9183d,aeron_chair_b_size_height_adjustable_arms,autocad_3d,.dwg,herman_miller/aeron-chairs/aeron_chair_b_size_height_adjustable_arms/autocad_3d/HMI_Aeron_Chair_B_Size_Height_Adjustable_Arms_3D.dwg,1752367,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,c02ac807eda5c11c56a624cdefd47eb7dffb94e465f51c9fe915f47d29d9fcef,aeron_chair_c_size_armless,autocad_3d,.dwg,herman_miller/aeron-chairs/aeron_chair_c_size_armless/autocad_3d/HMI_Aeron_Chair_C_Size_Armless_3D.dwg,1793614,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,c65123e516525b98e10e70ba627145933526890381d326424414cf7a2e6b471b,aeron_chair_c_size_fixed_arms,autocad_3d,.dwg,herman_miller/aeron-chairs/aeron_chair_c_size_fixed_arms/autocad_3d/HMI_Aeron_Chair_C_Size_Fixed_Arms_3D.dwg,1871940,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,75bc5c754063b0affa16f8700c9609959e2fcc11fd2ec9971ace48f19c662337,aeron_chair_c_size_height_adjustable_arms,autocad_3d,.dwg,herman_miller/aeron-chairs/aeron_chair_c_size_height_adjustable_arms/autocad_3d/HMI_Aeron_Chair_C_Size_Height_Adjustable_Arms_3D.dwg,1887737,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,1cd862c95d76cdbdc839a40fd019c662fe370f1fdea16e5f634eaabf1e74c94a,aeron_chair_a_size_height_adjustable_arms,revit,.rfa,herman_miller/aeron-chairs/aeron_chair_a_size_height_adjustable_arms/revit/extracted/HermanMiller_Seating_NewAeronWorkChairASize.rfa,4648960,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,eb06ef7938f5778adf16d2e929d7d0c8e4bd162c8c01dde2a6627d59470aaa2c,aeron_chair_b_size_height_adjustable_arms,revit,.rfa,herman_miller/aeron-chairs/aeron_chair_b_size_height_adjustable_arms/revit/extracted/HermanMiller_Seating_NewAeronWorkChairBSize.rfa,6717440,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,0552cbab6bcbcd2cac20dc23563fb9e9a99ac4d465e502b2609ab40457c6d87b,aeron_chair_c_size_height_adjustable_arms,revit,.rfa,herman_miller/aeron-chairs/aeron_chair_c_size_height_adjustable_arms/revit/extracted/HermanMiller_Seating_NewAeronWorkChairCSize.rfa,4739072,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
