product_uid,brand,name,slug,category,product_card_image_path,thumbnail_url,product_url
herman_miller:girard_flower_table,herman_miller,girard flower table,girard_flower_table,,images/herman_miller/girard_flower_table/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/g/girard_flower_tables/girard_flower_table_large/HMI_Girard_Flower_Table_Large_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/girard-flower-table-large/
herman_miller:girard_stool,herman_miller,girard stool,girard_stool,,images/herman_miller/girard_stool/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/h/hm_girard_stools/hm_girard_stool_rfa.zip/HMI_Hm_Girard_Stool_Rfa.zip_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/HM-Girard-Stool-rfa.zip/
herman_miller:mirra_2_chairs,herman_miller,mirra 2 chairs,mirra_2_chairs,,images/herman_miller/mirra_2_chairs/th_prd_mirra_2_chair_office_chairs_fn.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/m/mirra_2_chairs/mirra_2_chair_suspension_back_fixed_arms/HMI_Mirra_2_Chair_Suspension_Back_Fixed_Arms_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/mirra-2-chair-suspension-back-fixed-arms/
herman_miller:mirra_2_stool,herman_miller,mirra 2 stool,mirra_2_stool,,images/herman_miller/mirra_2_stool/th_prd_mirra_2_chair_office_chairs_fn.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/m/mirra_2_stools/mirra_2_stool_suspension_back_fixed_arms/HMI_Mirra_2_Stool_Suspension_Back_Fixed_Arms_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/mirra-2-stool-suspension-back-fixed-arms/
herman_miller:motia_sit_to_stand_tables,herman_miller,motia sit to stand tables,motia_sit_to_stand_tables,,images/herman_miller/motia_sit_to_stand_tables/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/h/hmi_motia_sit_to_stand/hmi_motia_sit_to_stand_tables/HMI_Hmi_Motia_Sit_to_Stand_Tables_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/hmi-motia-sit-to-stand-tables/
herman_miller:oe1_communal_tables,herman_miller,oe1 communal tables,oe1_communal_tables,,images/herman_miller/oe1_communal_tables/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/o/oe1_communal_tables/oe1_communal_table_screen_fabric_/HMI_Oe1_Communal_Table_Screen_Fabric__mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/oe1-communal-table-screen-fabric-/
herman_miller:oe1_mobile_easel,herman_miller,oe1 mobile easel,oe1_mobile_easel,,images/herman_miller/oe1_mobile_easel/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/o/oe1_mobile/oe1_mobile_easel_project_board/HMI_Oe1_Mobile_Easel_Project_Board_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/oe1-mobile-easel-project-board/
herman_miller:oe1_sit_to_stand_table,herman_miller,oe1 sit to stand table,oe1_sit_to_stand_table,,images/herman_miller/oe1_sit_to_stand_table/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/o/oe1_sit_to_stand_tables/oe1_sit_to_stand_table_round/HMI_Oe1_Sit_to_Stand_Table_Round_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/oe1-sit-to-stand-table-round/
herman_miller:product_models,herman_miller,product models,product_models,,images/herman_miller/product_models/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,,
herman_miller:renew_sit_to_stand_tables,herman_miller,renew sit to stand tables,renew_sit_to_stand_tables,,images/herman_miller/renew_sit_to_stand_tables/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/h/hmi_renew_sit_to_stand/hmi_renew_sit_to_stand_tables/HMI_Hmi_Renew_Sit_to_Stand_Tables_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/hmi-renew-sit-to-stand-tables/
