product_uid,variant,image_url,provider,score,rationale,status,width,height,content_hash,local_path,created_at,updated_at,is_primary,image_score
herman_miller:product_models,,https://www.hermanmiller.com/content/dam/hmicom/page_assets/products/categories/seating/sub_categories/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: search_match,pending,,,,images/herman_miller/product_models/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,1755392772,1755392772,1,5.5
herman_miller:renew_sit_to_stand_tables,,https://www.hermanmiller.com/content/dam/hmicom/page_assets/products/categories/seating/sub_categories/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: model_image,pending,,,,images/herman_miller/renew_sit_to_stand_tables/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,1755392784,1755392784,1,5.5
herman_miller:rohde_easy_chair,,https://www.hermanmiller.com/content/dam/hmicom/page_assets/products/categories/seating/sub_categories/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: search_match,pending,,,,images/herman_miller/rohde_easy_chair/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,1755392796,1755392796,1,6.0
herman_miller:rohde_paldao_table,,https://www.hermanmiller.com/content/dam/hmicom/page_assets/products/categories/seating/sub_categories/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: model_image,pending,,,,images/herman_miller/rohde_paldao_table/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,1755392810,1755392810,1,5.0
herman_miller:sayl_chairs,,https://www.hermanmiller.com/content/dam/hmicom/page_assets/products/categories/seating/sub_categories/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: search_match,pending,,,,images/herman_miller/sayl_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,1755392826,1755392826,1,5.5
herman_miller:spout_sit_to_stand_table,,https://www.hermanmiller.com/content/dam/hmicom/page_assets/products/categories/seating/sub_categories/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: model_image,pending,,,,images/herman_miller/spout_sit_to_stand_table/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,1755392840,1755392840,1,5.5
herman_miller:striad_sofas,,https://www.hermanmiller.com/content/dam/hmicom/page_assets/products/categories/seating/sub_categories/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: model_image,pending,,,,images/herman_miller/striad_sofas/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,1755392852,1755392852,1,4.5
herman_miller:verus_chairs,,https://www.hermanmiller.com/content/dam/hmicom/page_assets/products/categories/seating/sub_categories/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: search_match,pending,,,,images/herman_miller/verus_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,1755392867,1755392867,1,5.5
herman_miller:verus_side_chairs,,https://www.hermanmiller.com/content/dam/hmicom/page_assets/products/categories/seating/sub_categories/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: search_match,pending,,,,images/herman_miller/verus_side_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,1755392882,1755392882,1,6.0
herman_miller:zeph_chair,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_27108.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755388065,1755388065,0,0.0
herman_miller:zeph_chair,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_33268.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755388065,1755388065,0,0.0
herman_miller:zeph_chair,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_33264.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755388065,1755388065,0,0.0
herman_miller:zeph_chair,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_27044_RET.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755388065,1755388065,0,0.0
herman_miller:zeph_chair,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_27073_RET.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755388065,1755388065,0,0.0
herman_miller:zeph_chair,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_33289.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755388065,1755388065,0,0.0
herman_miller:zeph_chair,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_33291.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755388065,1755388065,0,0.0
herman_miller:zeph_chair,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_33305.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755388065,1755388065,0,0.0
herman_miller:zeph_chair,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_33283.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755388065,1755388065,0,0.0
